Sample Name,Target Name,Task,CT
mock input,RNA18S1,UNKNOWN,9.749862
mock input,RNA18S1,UNKNOWN,9.200608
mock input,vtRNA1-1,UNKNOWN,19.868486
mock input,FFLUC,UNKNOWN,19.514
mock input,FFLUC,UNKNOWN,19.514387
mock input,vtRNA1-1,UNKNOWN,23.343056
mock enriched,RNA18S1,UNKNOWN,17.29299
mock enriched,RNA18S1,UNKNOWN,17.056787
mock enriched,FFLUC,UNKNOWN,18.312372
mock enriched,FFLUC,UNKNOWN,18.781952
mock enriched,vtRNA1-1,UNKNOWN,27.264336
mock enriched,vtRNA1-1,UNKNOWN,27.71246
ix 1-1 input,RNA18S1,UNKNOWN,11.133219
ix 1-1 input,RNA18S1,UNKNOWN,11.556335
ix 1-1 input,FFLUC,UNKNOWN,20.916199
ix 1-1 input,FFLUC,UNKNOWN,20.461987
ix 1-1 input,vtRNA1-1,UNKNOWN,22.738457
ix 1-1 input,vtRNA1-1,UNKNOWN,22.12796
ix 1-1 enriched,RNA18S1,UNKNOWN,19.318253
ix 1-1 enriched,RNA18S1,UNKNOWN,18.049887
ix 1-1 enriched,FFLUC,UNKNOWN,19.990013
ix 1-1 enriched,FFLUC,UNKNOWN,19.201237
ix 1-1 enriched,vtRNA1-1,UNKNOWN,22.492329
ix 1-1 enriched,vtRNA1-1,UNKNOWN,22.753012
ix 1-2 input,RNA18S1,UNKNOWN,10.946316
ix 1-2 input,RNA18S1,UNKNOWN,10.456861
ix 1-2 input,FFLUC,UNKNOWN,20.062164
ix 1-2 input,FFLUC,UNKNOWN,20.650467
ix 1-2 input,vtRNA1-1,UNKNOWN,22.36539
ix 1-2 input,vtRNA1-1,UNKNOWN,21.282637
ix 1-2 enriched,RNA18S1,UNKNOWN,17.166775
ix 1-2 enriched,RNA18S1,UNKNOWN,16.422644
ix 1-2 enriched,FFLUC,UNKNOWN,18.32275
ix 1-2 enriched,FFLUC,UNKNOWN,17.570057
ix 1-2 enriched,vtRNA1-1,UNKNOWN,20.735329
ix 1-2 enriched,vtRNA1-1,UNKNOWN,21.231808
ix 1-3 input,RNA18S1,UNKNOWN,10.8305855
ix 1-3 input,RNA18S1,UNKNOWN,11.053356
ix 1-3 input,FFLUC,UNKNOWN,20.025087
ix 1-3 input,FFLUC,UNKNOWN,19.987858
ix 1-3 input,vtRNA1-1,UNKNOWN,21.873428
ix 1-3 input,vtRNA1-1,UNKNOWN,21.582209
ix 1-3 enriched,RNA18S1,UNKNOWN,15.956288
ix 1-3 enriched,RNA18S1,UNKNOWN,15.796618
ix 1-3 enriched,FFLUC,UNKNOWN,19.589615
ix 1-3 enriched,FFLUC,UNKNOWN,19.552702
ix 1-3 enriched,vtRNA1-1,UNKNOWN,22.562727
ix 1-3 enriched,vtRNA1-1,UNKNOWN,22.981628
ix 2 input,RNA18S1,UNKNOWN,9.855034
ix 2 input,RNA18S1,UNKNOWN,9.466936
ix 2 input,FFLUC,UNKNOWN,19.721188
ix 2 input,FFLUC,UNKNOWN,19.85577
ix 2 input,vtRNA1-1,UNKNOWN,20.764692
ix 2 input,vtRNA1-1,UNKNOWN,21.052618
ix 2 enriched,RNA18S1,UNKNOWN,17.571316
ix 2 enriched,RNA18S1,UNKNOWN,17.593744
ix 2 enriched,FFLUC,UNKNOWN,19.566032
ix 2 enriched,FFLUC,UNKNOWN,19.544413
ix 2 enriched,vtRNA1-1,UNKNOWN,21.798147
ix 2 enriched,vtRNA1-1,UNKNOWN,21.684574
ix 3 input,RNA18S1,UNKNOWN,9.1456375
ix 3 input,RNA18S1,UNKNOWN,7.8767653
ix 3 input,FFLUC,UNKNOWN,18.557234
ix 3 input,FFLUC,UNKNOWN,18.85558
ix 3 input,vtRNA1-1,UNKNOWN,19.3469
ix 3 input,vtRNA1-1,UNKNOWN,19.988615
ix 3 enriched,RNA18S1,UNKNOWN,18.166683
ix 3 enriched,RNA18S1,UNKNOWN,18.48273
ix 3 enriched,FFLUC,UNKNOWN,19.18663
ix 3 enriched,FFLUC,UNKNOWN,19.132763
ix 3 enriched,vtRNA1-1,UNKNOWN,21.38791
ix 3 enriched,vtRNA1-1,UNKNOWN,21.90038
