Sample Name,Target Name,Task,CT
mock_input_NP,RNA18S1,1.0,4.437393
mock_input_NP,RNA18S1,1.0,4.6697097
mock_input_NP,RNA18S1,1.0,4.370591
mock_input_NP,RNU6,1.0,9.17969
mock_input_NP,RNU6,1.0,8.338982
mock_input_NP,RNU6,1.0,8.233715
mock_input_NP,RNY4,1.0,14.925072
mock_input_NP,RNY4,1.0,14.966975
mock_input_NP,RNY4,1.0,14.611843
mock_input_NP,vtRNA1-1,1.0,11.90534
mock_input_NP,vtRNA1-1,1.0,11.5565815
mock_input_NP,vtRNA1-1,1.0,12.06838
mock_input_NP,WSN_PB2,1.0,29.550985
mock_input_NP,WSN_PB2,1.0,29.36191
mock_input_NP,WSN_PB2,1.0,29.18082
mock_input_NP,RNA18S1,2.0,4.2250295
mock_input_NP,RNA18S1,2.0,4.4808345
mock_input_NP,RNA18S1,2.0,4.285389
mock_input_NP,RNU6,2.0,7.7889223
mock_input_NP,RNU6,2.0,8.060376
mock_input_NP,RNU6,2.0,7.6485415
mock_input_NP,RNY4,2.0,14.399397
mock_input_NP,RNY4,2.0,14.673283
mock_input_NP,RNY4,2.0,14.599339
mock_input_NP,vtRNA1-1,2.0,11.396164
mock_input_NP,vtRNA1-1,2.0,11.519516
mock_input_NP,vtRNA1-1,2.0,11.170024
mock_input_NP,WSN_PB2,2.0,29.325466
mock_input_NP,WSN_PB2,2.0,29.322
mock_input_NP,WSN_PB2,2.0,28.948341
mock_input_IgG,RNA18S1,1.0,4.5702057
mock_input_IgG,RNA18S1,1.0,4.298503
mock_input_IgG,RNA18S1,1.0,4.577563
mock_input_IgG,RNU6,1.0,8.223602
mock_input_IgG,RNU6,1.0,7.991817
mock_input_IgG,RNU6,1.0,8.245606
mock_input_IgG,RNY4,1.0,14.758647
mock_input_IgG,RNY4,1.0,14.914471
mock_input_IgG,RNY4,1.0,14.753797
mock_input_IgG,vtRNA1-1,1.0,11.894119
mock_input_IgG,vtRNA1-1,1.0,11.790824
mock_input_IgG,vtRNA1-1,1.0,11.684632
mock_input_IgG,WSN_PB2,1.0,29.318895
mock_input_IgG,WSN_PB2,1.0,29.610165
mock_input_IgG,WSN_PB2,1.0,29.377237
mock_input_IgG,RNA18S1,2.0,4.4431434
mock_input_IgG,RNA18S1,2.0,4.6475186
mock_input_IgG,RNA18S1,2.0,4.585955
mock_input_IgG,RNU6,2.0,8.004761
mock_input_IgG,RNU6,2.0,7.9961824
mock_input_IgG,RNU6,2.0,8.084083
mock_input_IgG,RNY4,2.0,14.487138
mock_input_IgG,RNY4,2.0,14.478325
mock_input_IgG,RNY4,2.0,14.249218
mock_input_IgG,vtRNA1-1,2.0,11.417996
mock_input_IgG,vtRNA1-1,2.0,11.980184
mock_input_IgG,vtRNA1-1,2.0,11.322642
mock_input_IgG,WSN_PB2,2.0,27.662758
mock_input_IgG,WSN_PB2,2.0,27.878948
mock_input_IgG,WSN_PB2,2.0,28.075377
