Sample Name,Target Name,Task,CT
mock_0.5_input,WSN_PB2,UNKNOWN,32.172115
mock_0.5_input,WSN_PB2,UNKNOWN,35.17985
mock_0.5_enrich,WSN_PB2,UNKNOWN,37.631844
mock_0.5_enrich,WSN_PB2,UNKNOWN,31.900562
mock_02_input,WSN_PB2,UNKNOWN,33.54863
mock_02_input,WSN_PB2,UNKNOWN,33.506016
mock_02_input,WSN_PB2,UNKNOWN,33.582237
mock_04_input,WSN_PB2,UNKNOWN,34.524582
mock_04_input,WSN_PB2,UNKNOWN,33.56041
mock_04_input,WSN_PB2,UNKNOWN,34.48193
mock_04_enrich,WSN_PB2,UNKNOWN,36.269287
mock_24_enrich,WSN_PB2,UNKNOWN,31.978043
infect_0.5_input,WSN_PB2,UNKNOWN,10.520105
infect_0.5_input,WSN_PB2,UNKNOWN,10.383408
infect_0.5_input,WSN_PB2,UNKNOWN,10.59419
infect_0.5_enrich,WSN_PB2,UNKNOWN,21.564531
infect_0.5_enrich,WSN_PB2,UNKNOWN,21.485062
infect_0.5_enrich,WSN_PB2,UNKNOWN,21.606785
infect_02_input,WSN_PB2,UNKNOWN,10.533992
infect_02_input,WSN_PB2,UNKNOWN,10.404354
infect_02_input,WSN_PB2,UNKNOWN,10.36473
infect_02_enrich,WSN_PB2,UNKNOWN,15.996701
infect_02_enrich,WSN_PB2,UNKNOWN,15.956509
infect_02_enrich,WSN_PB2,UNKNOWN,15.968147
infect_04_input,WSN_PB2,UNKNOWN,11.557906
infect_04_input,WSN_PB2,UNKNOWN,11.46452
infect_04_input,WSN_PB2,UNKNOWN,11.257155
infect_04_enrich,WSN_PB2,UNKNOWN,21.628954
infect_04_enrich,WSN_PB2,UNKNOWN,21.426199
infect_04_enrich,WSN_PB2,UNKNOWN,21.28382
infect_24_input,WSN_PB2,UNKNOWN,14.880948
infect_24_input,WSN_PB2,UNKNOWN,15.562036
infect_24_input,WSN_PB2,UNKNOWN,15.007116
infect_24_enrich,WSN_PB2,UNKNOWN,19.421776
infect_24_enrich,WSN_PB2,UNKNOWN,19.534124
infect_24_enrich,WSN_PB2,UNKNOWN,19.45396
