Sample Name,Target Name,Task,CT
mock_0.5_input,FFLUC,UNKNOWN,27.998974
mock_0.5_enrich,FFLUC,UNKNOWN,34.09607
mock_0.5_flowthrough,FFLUC,UNKNOWN,26.621643
mock_02_input,FFLUC,UNKNOWN,27.606121
mock_02_enrich,FFLUC,UNKNOWN,33.971207
mock_02_flowthrough,FFLUC,UNKNOWN,25.893549
mock_04_input,FFLUC,UNKNOWN,27.025236
mock_04_enrich,FFLUC,UNKNOWN,31.503462
mock_04_flowthrough,FFLUC,UNKNOWN,27.149569
mock_24_input,FFLUC,UNKNOWN,27.18133
mock_24_enrich,FFLUC,UNKNOWN,34.070595
mock_24_flowthrough,FFLUC,UNKNOWN,26.291048
mock_0.5_input,FFLUC,UNKNOWN,28.242056
mock_0.5_enrich,FFLUC,UNKNOWN,31.951763
mock_0.5_flowthrough,FFLUC,UNKNOWN,26.606676
mock_02_input,FFLUC,UNKNOWN,27.03059
mock_02_flowthrough,FFLUC,UNKNOWN,26.24556
mock_04_input,FFLUC,UNKNOWN,26.99294
mock_04_enrich,FFLUC,UNKNOWN,30.360231
mock_04_flowthrough,FFLUC,UNKNOWN,27.30939
mock_24_input,FFLUC,UNKNOWN,27.6907
mock_24_flowthrough,FFLUC,UNKNOWN,26.044031
mock_0.5_input,FFLUC,UNKNOWN,27.92952
mock_0.5_enrich,FFLUC,UNKNOWN,31.338892
mock_0.5_flowthrough,FFLUC,UNKNOWN,26.895668
mock_02_input,FFLUC,UNKNOWN,26.999762
mock_02_flowthrough,FFLUC,UNKNOWN,25.501314
mock_02_enrich,FFLUC,UNKNOWN,33.433853
mock_04_input,FFLUC,UNKNOWN,26.498234
mock_04_enrich,FFLUC,UNKNOWN,30.96659
mock_04_flowthrough,FFLUC,UNKNOWN,27.83406
mock_24_input,FFLUC,UNKNOWN,26.464834
mock_24_enrich,FFLUC,UNKNOWN,36.35312
mock_24_flowthrough,FFLUC,UNKNOWN,26.015516
infect_0.5_input,FFLUC,UNKNOWN,26.256308
infect_0.5_enrich,FFLUC,UNKNOWN,32.0807
infect_0.5_flowthrough,FFLUC,UNKNOWN,23.541016
infect_02_input,FFLUC,UNKNOWN,26.592255
infect_02_flowthrough,FFLUC,UNKNOWN,23.870073
infect_04_input,FFLUC,UNKNOWN,27.041525
infect_04_enrich,FFLUC,UNKNOWN,31.283232
infect_04_flowthrough,FFLUC,UNKNOWN,24.905924
infect_24_input,FFLUC,UNKNOWN,29.12313
infect_24_flowthrough,FFLUC,UNKNOWN,27.029943
infect_0.5_input,FFLUC,UNKNOWN,26.054836
infect_0.5_enrich,FFLUC,UNKNOWN,32.960613
infect_0.5_flowthrough,FFLUC,UNKNOWN,23.651752
infect_02_input,FFLUC,UNKNOWN,26.797976
infect_02_enrich,FFLUC,UNKNOWN,34.817104
infect_02_flowthrough,FFLUC,UNKNOWN,24.031778
infect_04_input,FFLUC,UNKNOWN,27.571333
infect_04_enrich,FFLUC,UNKNOWN,34.29622
infect_04_flowthrough,FFLUC,UNKNOWN,24.427197
infect_24_input,FFLUC,UNKNOWN,29.027441
infect_24_flowthrough,FFLUC,UNKNOWN,27.395563
infect_0.5_input,FFLUC,UNKNOWN,26.431784
infect_0.5_enrich,FFLUC,UNKNOWN,31.691605
infect_0.5_flowthrough,FFLUC,UNKNOWN,23.855001
infect_02_input,FFLUC,UNKNOWN,26.916925
infect_02_flowthrough,FFLUC,UNKNOWN,24.114449
infect_04_input,FFLUC,UNKNOWN,27.249035
infect_04_enrich,FFLUC,UNKNOWN,32.833942
infect_04_flowthrough,FFLUC,UNKNOWN,24.385391
infect_24_input,FFLUC,UNKNOWN,29.593105
infect_24_enrich,FFLUC,UNKNOWN,34.062912
infect_24_flowthrough,FFLUC,UNKNOWN,27.40736
