Sample Name,Target Name,Task,CT
DMSO_input,FFLUC,1.0,23.558348
DMSO_input,FFLUC,1.0,23.715853
DMSO_input,FFLUC,1.0,22.874245
DMSO_flowthrough,FFLUC,1.0,20.118597
DMSO_flowthrough,FFLUC,1.0,20.298216
DMSO_flowthrough,FFLUC,1.0,20.18162
DMSO_elute-heat,FFLUC,1.0,26.543808
DMSO_elute-heat,FFLUC,1.0,26.595327
DMSO_elute-heat,FFLUC,1.0,26.692873
DMSO_elute+heat,FFLUC,1.0,31.652311
DMSO_elute+heat,FFLUC,1.0,32.251205
DMSO_elute+heat,FFLUC,1.0,33.992634
DMSO_input,FFLUC,2.0,22.758183
DMSO_input,FFLUC,2.0,23.089369
DMSO_input,FFLUC,2.0,22.791178
DMSO_flowthrough,FFLUC,2.0,19.978819
DMSO_flowthrough,FFLUC,2.0,20.177164
DMSO_flowthrough,FFLUC,2.0,20.141645
DMSO_elute-heat,FFLUC,2.0,28.427633
DMSO_elute-heat,FFLUC,2.0,28.839735
DMSO_elute-heat,FFLUC,2.0,28.26372
DMSO_elute+heat,FFLUC,2.0,31.44833
DMSO_elute+heat,FFLUC,2.0,31.079731
DMSO_elute+heat,FFLUC,2.0,31.231398
NaOH_input,FFLUC,1.0,23.173872
NaOH_input,FFLUC,1.0,23.363976
NaOH_input,FFLUC,1.0,22.552235
NaOH_flowthrough,FFLUC,1.0,19.723629
NaOH_flowthrough,FFLUC,1.0,19.496971
NaOH_flowthrough,FFLUC,1.0,19.449144
NaOH_elute-heat,FFLUC,1.0,25.52127
NaOH_elute-heat,FFLUC,1.0,25.330948
NaOH_elute-heat,FFLUC,1.0,25.418242
NaOH_elute+heat,FFLUC,1.0,29.495703
NaOH_elute+heat,FFLUC,1.0,29.531376
NaOH_elute+heat,FFLUC,1.0,29.995705
NaOH_input,FFLUC,2.0,22.977951
NaOH_input,FFLUC,2.0,22.706438
NaOH_input,FFLUC,2.0,22.906563
NaOH_flowthrough,FFLUC,2.0,19.55528
NaOH_flowthrough,FFLUC,2.0,19.429575
NaOH_flowthrough,FFLUC,2.0,19.500324
NaOH_elute-heat,FFLUC,2.0,31.24464
NaOH_elute-heat,FFLUC,2.0,30.265583
NaOH_elute-heat,FFLUC,2.0,31.487541
NaOH_elute+heat,FFLUC,2.0,25.796015
NaOH_elute+heat,FFLUC,2.0,25.83563
NaOH_elute+heat,FFLUC,2.0,25.973066
