Sample Name,Target Name,Task,CT
mock_uninduced,RNA18S1,1.0,4.1329775
mock_uninduced,RNA18S1,1.0,4.0723124
mock_uninduced,RNA18S1,1.0,4.087797
mock_uninduced,DUSP11,1.0,18.317621
mock_uninduced,DUSP11,1.0,18.46661
mock_uninduced,DUSP11,1.0,17.989685
mock_uninduced,WSN_PB2,1.0,27.135887
mock_uninduced,MX1,1.0,26.465698
mock_uninduced,MX1,1.0,26.357779
mock_uninduced,MX1,1.0,26.409641
mock_uninduced,ISG15,1.0,22.694395
mock_uninduced,ISG15,1.0,22.784601
mock_uninduced,ISG15,1.0,22.795141
mock_uninduced,RNA18S1,2.0,4.191089
mock_uninduced,RNA18S1,2.0,4.0777054
mock_uninduced,DUSP11,2.0,17.755264
mock_uninduced,WSN_PB2,2.0,27.1812
mock_uninduced,WSN_PB2,2.0,26.707426
mock_uninduced,MX1,2.0,25.835064
mock_uninduced,MX1,2.0,25.949984
mock_uninduced,MX1,2.0,25.802927
mock_uninduced,ISG15,2.0,22.79346
mock_uninduced,ISG15,2.0,22.69406
mock_uninduced,ISG15,2.0,22.552835
mock_uninduced,RNA18S1,3.0,4.413282
mock_uninduced,RNA18S1,3.0,4.3065968
mock_uninduced,DUSP11,3.0,17.981516
mock_uninduced,WSN_PB2,3.0,27.282621
mock_uninduced,MX1,3.0,26.75642
mock_uninduced,MX1,3.0,26.737707
mock_uninduced,MX1,3.0,26.611292
mock_uninduced,ISG15,3.0,22.759167
mock_induced,RNA18S1,1.0,4.939932
mock_induced,RNA18S1,1.0,4.8080635
mock_induced,DUSP11,1.0,14.347461
mock_induced,WSN_PB2,1.0,27.91753
mock_induced,WSN_PB2,1.0,27.624138
mock_induced,MX1,1.0,26.333473
mock_induced,MX1,1.0,26.903423
mock_induced,ISG15,1.0,22.885464
mock_induced,ISG15,1.0,21.749046
mock_induced,ISG15,1.0,22.706495
mock_induced,RNA18S1,2.0,4.659144
mock_induced,RNA18S1,2.0,4.260434
mock_induced,RNA18S1,2.0,4.312736
mock_induced,WSN_PB2,2.0,32.1571
mock_induced,MX1,2.0,26.882149
mock_induced,MX1,2.0,27.321522
mock_induced,MX1,2.0,22.373829
mock_induced,ISG15,2.0,20.332685
mock_induced,ISG15,2.0,20.541044
mock_induced,ISG15,2.0,20.322475
mock_induced,RNA18S1,3.0,4.0672965
mock_induced,RNA18S1,3.0,4.0472484
mock_induced,DUSP11,3.0,13.541277
mock_induced,DUSP11,3.0,13.502122
mock_induced,WSN_PB2,3.0,27.156687
mock_induced,WSN_PB2,3.0,27.363869
mock_induced,MX1,3.0,25.471184
mock_induced,MX1,3.0,25.469852
mock_induced,ISG15,3.0,22.014362
mock_induced,ISG15,3.0,22.027483
mock_induced,ISG15,3.0,22.198992
infected_uninduced,RNA18S1,1.0,5.3434134
infected_uninduced,RNA18S1,1.0,4.5858626
infected_uninduced,RNA18S1,1.0,4.5301895
infected_uninduced,DUSP11,1.0,21.951244
infected_uninduced,DUSP11,1.0,20.54569
infected_uninduced,DUSP11,1.0,20.924246
infected_uninduced,MX1,1.0,21.769367
infected_uninduced,MX1,1.0,21.95336
infected_uninduced,MX1,1.0,21.697021
infected_uninduced,ISG15,1.0,19.575653
infected_uninduced,ISG15,1.0,19.57357
infected_uninduced,ISG15,1.0,19.34822
infected_uninduced,RNA18S1,2.0,4.7813034
infected_uninduced,RNA18S1,2.0,4.664999
infected_uninduced,DUSP11,2.0,22.444208
infected_uninduced,DUSP11,2.0,21.688368
infected_uninduced,WSN_PB2,2.0,5.852594
infected_uninduced,WSN_PB2,2.0,5.7539806
infected_uninduced,MX1,2.0,21.527473
infected_uninduced,MX1,2.0,21.42399
infected_uninduced,MX1,2.0,21.334705
infected_uninduced,ISG15,2.0,19.23715
infected_uninduced,RNA18S1,3.0,4.743705
infected_uninduced,RNA18S1,3.0,5.261759
infected_uninduced,DUSP11,3.0,20.994177
infected_uninduced,DUSP11,3.0,20.913517
infected_uninduced,WSN_PB2,3.0,6.2928867
infected_uninduced,WSN_PB2,3.0,6.2037177
infected_uninduced,MX1,3.0,21.793598
infected_uninduced,MX1,3.0,21.96245
infected_uninduced,MX1,3.0,21.746672
infected_uninduced,ISG15,3.0,19.615652
infected_uninduced,ISG15,3.0,19.615902
infected_induced,RNA18S1,1.0,4.420788
infected_induced,RNA18S1,1.0,4.3967376
infected_induced,DUSP11,1.0,18.192083
infected_induced,DUSP11,1.0,17.676277
infected_induced,DUSP11,1.0,17.745483
infected_induced,MX1,1.0,22.493511
infected_induced,MX1,1.0,22.450113
infected_induced,ISG15,1.0,20.32106
infected_induced,ISG15,1.0,20.306389
infected_induced,RNA18S1,2.0,4.758665
infected_induced,RNA18S1,2.0,4.607891
infected_induced,RNA18S1,2.0,4.5429964
infected_induced,WSN_PB2,2.0,6.1688056
infected_induced,MX1,2.0,22.631733
infected_induced,MX1,2.0,24.153229
infected_induced,MX1,2.0,22.78225
infected_induced,ISG15,2.0,20.55419
infected_induced,ISG15,2.0,20.66226
infected_induced,RNA18S1,3.0,5.0793734
infected_induced,RNA18S1,3.0,5.5928345
infected_induced,RNA18S1,3.0,5.036898
infected_induced,WSN_PB2,3.0,7.0971136
infected_induced,WSN_PB2,3.0,7.225477
infected_induced,WSN_PB2,3.0,7.16412
infected_induced,MX1,3.0,22.62393
infected_induced,MX1,3.0,22.968784
infected_induced,MX1,3.0,23.030645
infected_induced,ISG15,3.0,21.089674
infected_induced,ISG15,3.0,21.267391
